full_name,fighter_id,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url,weight_class,total_fights,win_rate
Nariman Abbasov,4105,Bayraktar,172.72,155.0,167.64,Orthodox,1994-02-01,28,4,0,,http://ufcstats.com/fighter-details/59a9d6dac61c2540,Lightweight,32,0.875
Hamdy Abdelwahab,4103,The Hammer,187.96,264.0,182.88,Southpaw,1993-01-22,5,0,0,1.0,http://ufcstats.com/fighter-details/3329d692aea4dc28,Heavyweight,5,1.0
Shamil Abdurakhimov,4102,Abrek,190.5,235.0,193.04,Orthodox,1981-09-02,20,8,0,,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Heavyweight,28,0.7142857142857143
Klidson Abreu,4097,White Bear,182.88,205.0,187.96,Orthodox,1992-12-24,15,4,0,1.0,http://ufcstats.com/fighter-details/7279654c7674cd24,Light Heavyweight,19,0.7894736842105263
John Adajar,4094,The Outlaw,175.26,170.0,190.5,Orthodox,1991-06-22,6,2,0,,http://ufcstats.com/fighter-details/989b85f6540c86b1,Welterweight,8,0.75
Juan Adams,4092,The Kraken,195.58,265.0,203.2,Orthodox,1992-01-16,5,3,0,,http://ufcstats.com/fighter-details/83b00f7597e5ac83,Heavyweight,8,0.625
Anthony Adams,4091,Sugafoot,185.42,185.0,193.04,Orthodox,1988-01-13,8,2,0,,http://ufcstats.com/fighter-details/a77633a989013265,Middleweight,10,0.8
Zarrukh Adashev,4090,The Lion,165.1,125.0,165.1,Southpaw,1992-07-29,4,4,0,,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,Flyweight,8,0.5
Israel Adesanya,4089,The Last Stylebender,193.04,185.0,203.2,Switch,1989-07-22,24,3,0,,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,Middleweight,27,0.8888888888888888
Mariya Agapova,4086,Demonslayer,167.64,125.0,172.72,Southpaw,1997-04-07,10,4,0,,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,Flyweight,14,0.7142857142857143
Jessica Aguilar,4082,Jag,160.02,115.0,160.02,Orthodox,1982-05-08,20,8,0,,http://ufcstats.com/fighter-details/8f382b3baa954d2a,Flyweight,28,0.7142857142857143
Kevin Aguilar,4081,Angel of Death,170.18,155.0,185.42,Orthodox,1988-09-07,17,5,0,,http://ufcstats.com/fighter-details/cf946e03ba2e7666,Lightweight,22,0.7727272727272727
Christian Aguilera,4079,The Beast,175.26,170.0,182.88,Switch,1991-11-25,14,8,0,,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,Welterweight,22,0.6363636363636364
Nick Aguirre,4078,Slick,175.26,135.0,187.96,Southpaw,1996-01-15,7,1,0,,http://ufcstats.com/fighter-details/0978385b2bd9ef9b,Bantamweight,8,0.875
Ashiek Ajim,4076,Peak Physique,172.72,135.0,180.34,Switch,1994-06-19,6,2,0,,http://ufcstats.com/fighter-details/49dea784f6cfed71,Bantamweight,8,0.75
Omari Akhmedov,4074,Wolverine,182.88,185.0,185.42,Orthodox,1987-10-12,21,6,1,,http://ufcstats.com/fighter-details/16690d100f995f8f,Middleweight,28,0.75
Abdul-Kareem Al-Selwady,4070,Pride of Palestine,172.72,155.0,175.26,Orthodox,1995-04-10,15,3,0,,http://ufcstats.com/fighter-details/597499ac7a5aac62,Lightweight,18,0.8333333333333334
Amir Albazi,4065,The Prince,165.1,125.0,172.72,Orthodox,1993-10-27,17,1,0,,http://ufcstats.com/fighter-details/6d35bf94f7d30241,Flyweight,18,0.9444444444444444
John Albert,4063,Prince,172.72,135.0,172.72,Orthodox,1986-10-13,6,5,0,,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,Bantamweight,11,0.5454545454545454
Junior Albini,4062,Baby,190.5,264.0,187.96,Orthodox,1991-03-15,14,6,0,,http://ufcstats.com/fighter-details/c482c8605455a213,Heavyweight,20,0.7
Aleksandra Albu,4060,Stitch,157.48000000000002,115.0,160.02,Orthodox,1990-07-14,3,2,0,,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,Flyweight,5,0.6
Iuri Alcantara,4057,Marajo,175.26,135.0,180.34,Southpaw,1980-08-04,35,10,0,1.0,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,Bantamweight,45,0.7777777777777778
